"id","parent_id","facility_level","facility_code","facility_name","type","create_by","create_time","update_by","update_time","remark","is_del","facility_type"
1600,1598,3,"451.PF2","451.PF2",3,admin,"2020-11-15 14:23:30",,,煤粉计量秤,0,0
1601,1598,3,"451.BL1","451.BL1",3,admin,"2020-11-15 14:23:30",,,罗茨风机,0,1
1602,1598,3,"451.BL2","451.BL2",3,admin,"2020-11-15 14:23:30",,,罗茨风机,0,1
1603,1598,3,"451.BL3","451.BL3",3,admin,"2020-11-15 14:23:30",,,罗茨风机,0,1
1604,1583,3,"481.PF1","481.PF1",3,admin,"2020-11-15 14:23:30",,,煤粉计量秤,0,0
1605,1583,3,"481.BL1","481.BL1",3,admin,"2020-11-15 14:23:30",,,罗茨风机,0,1
1606,0,1,D,D,1,admin,"2020-11-15 14:23:30",,,,0,
1607,1606,2,D3,D3,2,admin,"2020-11-15 14:23:30",,,,0,
1608,1607,3,D31.CX1,D31.CX1,3,admin,"2020-11-15 14:23:30",,,螺杆空压机压缩机,0,1
1609,1607,3,D31.CX2,D31.CX2,3,admin,"2020-11-15 14:23:31",,,螺杆空压机压缩机,0,1
1610,1607,3,D31.CX3,D31.CX3,3,admin,"2020-11-15 14:23:31",,,螺杆空压机压缩机,0,1
1611,1607,3,D31.CX4,D31.CX4,3,admin,"2020-11-15 14:23:31",,,螺杆空压机压缩机,0,1
1612,1607,3,D31.CX5,D31.CX5,3,admin,"2020-11-15 14:23:31",,,螺杆空压机压缩机,0,1
1613,1607,3,D31.CX6,D31.CX6,3,admin,"2020-11-15 14:23:31",,,螺杆空压机压缩机,0,1
1614,1454,2,"2P","2P",2,admin,"2020-11-15 14:23:32",,,,0,
1616,1464,2,"3P","3P",2,admin,"2020-11-15 14:23:32",,,,0,
1618,1490,2,"4P","4P",2,admin,"2020-11-15 14:23:33",,,,0,
1621,1586,2,"5P","5P",2,admin,"2020-11-15 14:23:35",,,,0,
1623,0,1,"7","7",1,admin,"2020-11-15 14:23:37",,,,0,
1624,1623,2,"7P","7P",2,admin,"2020-11-15 14:23:37",,,,0,
1626,1461,3,"291.FN1","291.FN1",3,admin,"2020-11-15 15:37:43",,,收尘风机,0,0
1627,1483,3,"361.LQ1","361.LQ1",3,admin,"2020-11-15 15:37:51",,,"1#原料磨减速机润滑站高压泵",0,0
1628,1483,3,"361.LQ3","361.LQ3",3,admin,"2020-11-15 15:37:52",,,"1#原料磨主电机润滑站油泵",0,0
1629,1483,3,"362.SR2","362.SR2",3,admin,"2020-11-15 15:37:57",,,"2#原料磨选粉机",0,0
1630,1483,3,"362.SR3","362.SR3",3,admin,"2020-11-15 15:37:57",,,"2#原料磨选粉机",0,0
1631,1483,3,"362.LQ1","362.LQ1",3,admin,"2020-11-15 15:38:01",,,"2#原料磨减速机润滑站高压泵",0,0
1632,1483,3,"362.LQ3","362.LQ3",3,admin,"2020-11-15 15:38:02",,,"2#原料磨主电机润滑站油泵",0,0
1633,1501,3,"421.BF1","421.BF1",3,admin,"2020-11-15 15:38:04",,,"1#窑尾袋收尘器",0,0
1634,1501,3,"421.SC1","421.SC1",3,admin,"2020-11-15 15:38:10",,,螺旋输送机,0,0
1635,1501,3,"422.BF1","422.BF1",3,admin,"2020-11-15 15:38:10",,,"2#窑尾袋收尘器",0,0
1636,1501,3,"422.SC1","422.SC1",3,admin,"2020-11-15 15:38:15",,,螺旋输送机,0,0
1637,1547,3,"461.MD2","461.MD2",3,admin,"2020-11-15 15:38:17",,,"2#窑主传电机",0,0
1638,1550,3,"472.FAS","472.FAS",3,admin,"2020-11-15 15:38:51",,,冷却风机,0,0
1639,1550,3,"473.FAS","473.FAS",3,admin,"2020-11-15 15:38:51",,,冷却风机,0,0
1640,1490,2,"49","49",2,admin,"2020-11-15 15:38:55",,,,0,
1641,1640,3,"491.CV1","491.CV1",3,admin,"2020-11-15 15:38:55",,,链式输送机,0,0
1642,1529,3,"431.BLB","431.BLB",3,admin,"2020-11-17 15:42:50",,,罗茨风机,0,0
1643,1587,3,"511.BC1","511.BC1",3,admin,"2020-11-17 15:42:51",,,皮带输送机,0,0
1644,1587,3,"511.BC2","511.BC2",3,admin,"2020-11-17 15:42:52",,,皮带输送机,0,0
1645,0,1,"6","6",1,admin,"2020-11-17 15:42:52",,,,0,
1646,1645,2,"6N","6N",2,admin,"2020-11-17 15:42:52",,,,0,
1647,1646,3,"6N1.BC1","6N1.BC1",3,admin,"2020-11-17 15:42:52",,,皮带输送机,0,0
1648,1645,2,"64","64",2,admin,"2020-11-17 15:42:52",,,,0,
1649,1648,3,"641.BC1","641.BC1",3,admin,"2020-11-17 15:42:52",,,皮带输送机,0,0
1650,1646,3,"6N1.BC2","6N1.BC2",3,admin,"2020-11-17 15:42:53",,,皮带输送机,0,0
1651,1648,3,"641.BL1","641.BL1",3,admin,"2020-11-17 15:42:53",,,罗茨风机,0,0
1652,1648,3,"641.BL2","641.BL2",3,admin,"2020-11-17 15:42:54",,,罗茨风机,0,0
1653,1645,2,"6P","6P",2,admin,"2020-11-17 15:42:54",,,,0,
1654,1653,3,"6P1.BC1","6P1.BC1",3,admin,"2020-11-17 15:42:54",,,皮带输送机,0,0
1655,1645,2,"6Q","6Q",2,admin,"2020-11-17 15:42:54",,,,0,
1656,1655,3,"6Q1.BC1","6Q1.BC1",3,admin,"2020-11-17 15:42:54",,,皮带输送机,0,0
1657,1655,3,"6Q1.BC2","6Q1.BC2",3,admin,"2020-11-17 15:42:54",,,皮带输送机,0,0
1658,1655,3,"6Q1.BCA","6Q1.BCA",3,admin,"2020-11-17 15:42:55",,,皮带输送机,0,0
1659,1655,3,"6Q1.BCB","6Q1.BCB",3,admin,"2020-11-17 15:42:55",,,皮带输送机,0,0
1660,1655,3,"6Q1.BCC","6Q1.BCC",3,admin,"2020-11-17 15:42:55",,,皮带输送机,0,0
1661,1655,3,"6Q1.BC3","6Q1.BC3",3,admin,"2020-11-17 15:42:55",,,皮带输送机,0,0
1662,1655,3,"6Q1.BC4","6Q1.BC4",3,admin,"2020-11-17 15:42:55",,,皮带输送机,0,0
1663,1655,3,"6Q1.BC5","6Q1.BC5",3,admin,"2020-11-17 15:42:55",,,皮带输送机,0,0
1664,1493,3,"391.CV5","391.CV5",3,admin,"2020-11-17 16:57:48",,,链式输送机,0,0
1665,1640,3,"491.FN2","491.FN2",3,admin,"2020-11-17 16:57:50",,,离心通风机,0,0
1666,1607,3,D32.CX1,D32.CX1,3,admin,"2020-11-17 16:57:50",,,螺杆空压机压缩机,0,1
1667,1607,3,D32.CX2,D32.CX2,3,admin,"2020-11-17 16:57:50",,,螺杆空压机压缩机,0,1
1668,1607,3,D32.CX3,D32.CX3,3,admin,"2020-11-17 16:57:50",,,螺杆空压机压缩机,0,1
1669,1614,3,"2P1.1S2.UC","2P1.1S2.UC",3,admin,"2020-11-18 10:00:14",,,循环水电气室变压器柜,0,0
1670,1614,3,"2P1.1S2.UD","2P1.1S2.UD",3,admin,"2020-11-18 10:00:14",,,辅助破碎电气室变压器柜,0,0
1671,1614,3,"2P1.1S2.UE","2P1.1S2.UE",3,admin,"2020-11-18 10:00:14",,,石灰石长皮带变频整流变柜,0,0
1672,1614,3,"2P1.1S2.UF","2P1.1S2.UF",3,admin,"2020-11-18 10:00:14",,,辅料破碎机柜,0,0
1673,1614,3,"2P1.1S2.UG","2P1.1S2.UG",3,admin,"2020-11-18 10:00:14",,,锤式破碎机1#电机柜,0,0
1674,1614,3,"2P1.1S2.UH","2P1.1S2.UH",3,admin,"2020-11-18 10:00:14",,,锤式破碎机2#电机柜,0,0
1675,1616,3,"3P1.1S1.UA","3P1.1S1.UA",3,admin,"2020-11-18 10:00:14",,,"1#原料磨主电机柜",0,0
